No,Kode,Nama Perusahaan,Tahun,X1_KepInstitusional,X2_KomiteAudit,X3_DewanKomInd,X4_KeberagamanGender,X5_KepManajerial,Y_ETR
140,TBLA,Tunas Baru Lampung Tbk.,2023,0.637935004,3.0,0.3333333333,0.0,0.0,0.2209708184
141,TBLA,Tunas Baru Lampung Tbk.,2024,0.5941960689,3.0,0.3333333333,0.0,0.0,0.2245010841
142,TGKA,Tigaraksa Satria Tbk.,2022,0.0679274407,3.0,0.4,0.3333333333,0.0046306843,0.2093560867
143,TGKA,Tigaraksa Satria Tbk.,2023,0.0679274407,3.0,0.4,0.3333333333,0.0028974099,0.2492123605
144,TGKA,Tigaraksa Satria Tbk.,2024,0.0679274407,3.0,0.4,0.3333333333,0.0028974099,0.1847569771
145,UCID,Uni-Charm Indonesia Tbk.,2022,0.803190143,3.0,0.4,0.25,1.203e-07,0.2724185366
146,UCID,Uni-Charm Indonesia Tbk.,2023,0.803190143,3.0,0.4,0.25,2.4058e-06,0.243259058
147,UCID,Uni-Charm Indonesia Tbk.,2024,0.8000000144,3.0,0.4,0.25,8.64655e-05,0.2408600846
148,ULTJ,Ultrajaya Milk Industry & Trad,2022,0.7794474957,2.0,0.3333333333,0.0,0.4875157926,0.2509794429
149,ULTJ,Ultrajaya Milk Industry & Trad,2023,0.7827035286,2.0,0.3333333333,0.0,0.3910670942,0.2130479637
150,ULTJ,Ultrajaya Milk Industry & Trad,2024,0.782777128,3.0,0.5,0.0,0.5446682651,0.2342771521
151,UNSP,Bakrie Sumatera Plantations Tb,2022,0.4604975411,3.0,0.3333333333,0.0,0.0,0.1678494568
152,UNSP,Bakrie Sumatera Plantations Tb,2023,0.4073652713,3.0,0.3333333333,0.0,0.0,0.3892868158
153,UNSP,Bakrie Sumatera Plantations Tb,2024,0.4410805633,3.0,0.3333333333,0.0,0.0,0.3892868158
154,UNVR,Unilever Indonesia Tbk.,2022,0.9651050807,3.0,0.6666666667,0.4532467532,0.0,0.2329264922
155,UNVR,Unilever Indonesia Tbk.,2023,0.9699966563,3.0,0.6666666667,0.4532467532,0.0,0.2258890697
156,UNVR,Unilever Indonesia Tbk.,2024,0.9599087347,3.0,0.6666666667,0.3333333333,0.0,0.2256632917
157,VICI,Victoria Care Indonesia Tbk.,2022,0.8494856887,3.0,0.3333333333,0.2,0.0002438134,0.2625252412
158,VICI,Victoria Care Indonesia Tbk.,2023,0.8494856887,3.0,0.4,0.2,0.0002438134,0.2430539146
159,VICI,Victoria Care Indonesia Tbk.,2024,0.8494856887,3.0,0.4,0.2,0.003225328,0.2248850341
160,WIIM,Wismilak Inti Makmur Tbk.,2022,0.6447466237,3.0,0.5,0.0,0.5381022224,0.2185704205
161,WIIM,Wismilak Inti Makmur Tbk.,2023,0.6429371816,3.0,0.5,0.0,0.5446682651,0.2206974265
162,WIIM,Wismilak Inti Makmur Tbk.,2024,0.6316000001,3.0,0.5,0.0,0.5446682651,0.2070991546
